ITEM_CODE,ITEM_NAME_ENG,ITEM_STOCK,ITEM_STATUS_CODE,ITEM_STATUS_NAME,STOCK_TYPE_CODE,STOCK_TYPE_NAME,EXPIRE_DATE,BATCH_NO,TOTAL_BASE_PRICE,TOTAL_PHARMAIST_PRICE,TOTAL_COMMUNITY_PRICE,COMPANY_ENTITY_CODE,COMPANY_ENTITY_NAME,STORE_DEPT_CODE,STORE_DEPT_NAME,Year,Month
21215,FORTIBONE 10 SACHET,1.0,10,قابل للصرف,1,اساسى,2026-05-01,101292CB,304.77216,334.4,380.0,4020301,فرع بنها,4,فروع,2025,1
21215,FORTIBONE 10 SACHET,1.0,30,منتهى الصلاحية,1,اساسى,2023-11-01,101072CB,124.31496,136.4,155.0,4010203,فرع شبرا,4,فروع,2025,1
21215,FORTIBONE 10 SACHET,5.0,10,قابل للصرف,1,اساسى,2025-03-01,1011130B,1122.8448,1232.0,1400.0,4030105,فرع المنيا الجديد,4,فروع,2025,1
21215,FORTIBONE 10 SACHET,11.0,10,قابل للصرف,1,اساسى,2026-03-01,101287,2955.48792,3242.8,3685.0,60238,صيدلية الجمعية التعاونية للبترول - بمسطرد,6,صيدليات,2025,1
81,GENGIGEL MOUTH WASH 1 150 ML,10.0,10,قابل للصرف,1,اساسى,2026-05-01,2317C00,2354.352,2640.0,3000.0,4020309,فرع شبين القناطر,4,فروع,2025,1
9209,KEFEN TECH PLAST.10X7CM 50 MG 7,2.857142857142857,10,قابل للصرف,1,اساسى,2026-05-01,KEY501,136.34542857142856,149.6,170.0,60121,صيدلية اسعاف (24) بورسعيد,6,صيدليات,2025,1
9209,KEFEN TECH PLAST.10X7CM 50 MG 7,17.0,90,مجنب,1,اساسى,2026-05-01,KEY501,811.2553,890.12,1011.5,4010401,فرع المهندسين,4,فروع,2025,1
9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,2.0,10,قابل للصرف,1,اساسى,2027-06-01,101520CB,561.4224,616.0,700.0,4010302,فرع شريف,4,فروع,2025,1
9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,5.0,10,قابل للصرف,1,اساسى,2027-06-01,101520CB,1403.556,1540.0,1750.0,60237,صيدلية القناة لتوزيع الكهرباء - الزقازيق,6,صيدليات,2025,1
9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,5.999999999999987,10,قابل للصرف,1,اساسى,2027-02-01,101388,1684.2671999999964,1847.999999999996,2099.9999999999955,60114,صيدلية القصر العينى,6,صيدليات,2025,1
9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,7.0,10,قابل للصرف,1,اساسى,2027-06-01,101522CB,1964.9784,2156.0,2450.0,4020103,فرع المنصورة,4,فروع,2025,1
9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,8.0,10,قابل للصرف,1,اساسى,2027-06-01,101520CB,2245.6896,2464.0,2800.0,4020306,فرع عرابي,4,فروع,2025,1
9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,10.0,10,قابل للصرف,1,اساسى,2027-01-05,101384CB,2807.112,3080.0,3500.0,60257,صيدلية اسعاف (24) اسوان,6,صيدليات,2025,1
