TRANS_SERIAL,CARD_DATE,ITEM_CODE,ITEM_NAME_ENG,STOCK_TYPE_CODE,SUPPLIER_CODE,TO_COMPANY_ENTITY_CODE,TO_COMPANY_ENTITY_NAME,FROM_COMPANY_ENTITY_CODE,FROM_COMPANY_ENTITY_NAME,GOV_NAME,SALES_QTY,RETURN_QTY,EXPIRE_DATE,BATCH_NO,VALUE,sheet src,Year,Month
2368800,2025-02-06 11:41:55,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1,2185,60109,صيدلية الزمالك,4010302,فرع شريف,0,100,0,2027-07-01,101524CB,30800.0,Tr,2025,2
2368800,2025-02-06 11:41:55,9546,CH-ALPHA SACHETS POWD 10 10.4 G,1,2185,60109,صيدلية الزمالك,4010302,فرع شريف,0,100,0,2026-07-01,101345CB,25960.0,Tr,2025,2
2372777,2025-02-09 13:08:01,9546,CH-ALPHA SACHETS POWD 10 10.4 G,1,2185,60228,صيدلية البنك المركزى - قصر النيل,4010302,فرع شريف,0,60,0,2026-07-01,101345CB,15576.0,Tr,2025,2
2376828,2025-02-11 15:34:34,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1,2185,60260,صيدلية السويس للزيت (سوكو),4010305,فرع جاردن سيتي,0,10,0,2027-07-01,101523CB,3080.0,Tr,2025,2
2376828,2025-02-11 15:34:34,9546,CH-ALPHA SACHETS POWD 10 10.4 G,1,2185,60260,صيدلية السويس للزيت (سوكو),4010305,فرع جاردن سيتي,0,6,0,2026-07-01,101345CB,1557.6,Tr,2025,2
2389562,2025-02-19 14:43:48,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1,2185,60206,صيدلية مجلس الشعب,4010305,فرع جاردن سيتي,0,60,0,2027-07-01,101524CB,18480.0,Tr,2025,2
2377901,2025-02-12 10:55:54,9546,CH-ALPHA SACHETS POWD 10 10.4 G,1,2185,60220,صيدلية كهرباء - الحلمية,4010205,فرع العباسية,0,200,0,2026-07-01,101344CB,51920.0,Tr,2025,2
2384013,2025-02-17 14:33:59,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1,2185,60202,صيدلية حلوان,4010303,فرع حلوان,0,10,0,2027-06-01,101520CB,3080.0,Tr,2025,2
2384013,2025-02-17 14:33:59,9546,CH-ALPHA SACHETS POWD 10 10.4 G,1,2185,60202,صيدلية حلوان,4010303,فرع حلوان,0,10,0,2026-07-01,101344CB,2596.0,Tr,2025,2
2381889,2025-02-15 11:06:17,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1,2185,60113,صيدلية اسعاف (24) الاميرية,4010402,فرع ربيع الجيزى المنيل سابقا,0,2,0,2027-06-01,101522CB,616.0,Tr,2025,2
