CR_TIME,INVOICE_SER,INVOICE_NO,INVOICE_DATE,ITEM_CODE,ITEM_NAME,SUPPLIER_CODE,SUPPLIER_NAME,STATUS,STATUS_NAME,ITEM_OUT_STATUS,STATUS_DESC,QTY_INVOICE,RETURN_QTY,QTY_PACK,QTY_UNIT,TOTAL_VALUE_INVOICE,BASE_PRICE,PHARMAIST_PRICE,COMMUNITY_PRICE,EXPIRE_DATE,BATCH_NO,CUSTOMER_CODE,CUSTOMER_NAME,CUSTOMER_ADDRESS,CUSTOMER_TYPE_CODE,EGYDRUG_CUSTOMER_TYPE,CUST_FAMILY,BRANCH_CODE,BRANCH_NAME,PROVINCE_CODE,PROVINCE_NAME,MRKZ_C,MRKZ_N,sheet src,Year,Month
2025-01-08 14:54:42,24741695,0/1/1/46089,2025-01-07 23:08:22,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,2185,BIOTECH PHARMA,1,اساسى,1,اساسى,2.0,0,2,0,616.0,280.7112,308.0,350.0,2027-06-01,101520CB,86646,احمد عساسة / المطرية /  محظور سموم,المطرية شارع الجمال قرب داود الريس / الدقهلية,5.0,pharmacy,0.0,4020103,فرع المنصورة,7,الدقهلية,724,المطرية,Br,2025,1
2025-01-20 09:56:23,24997562,0/1/1/1015,2025-01-19 12:09:04,21215,FORTIBONE 10 SACHET,2185,BIOTECH PHARMA,1,اساسى,1,اساسى,2.0,0,2,0,668.8,304.77216,334.4,380.0,2026-05-01,101290CB,63646,احمد عبد الحق - وادى حوف ,14 تقاطع شارع 11 مع شارع 17 وادى حوف,5.0,pharmacy,0.0,4010303,فرع حلوان,1,القاهره,2701,حلوان,Br,2025,1
2025-01-13 10:15:58,24810532,0/1/1/41363,2025-01-11 12:36:32,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,2185,BIOTECH PHARMA,1,اساسى,1,اساسى,1.0,0,1,0,308.0,280.7112,308.0,350.0,2027-04-01,101517CB,118887,شادى رجائى عشم عطالله - شبرا الخيمه,ش/عمربن الخطاب-عزبة بدران-شبرا الخيمه,5.0,pharmacy,0.0,4010107,فرع النصر,9,القليوبية,905,شبرا الخيمه,Br,2025,1
2025-01-13 12:18:08,24837290,0/1/1/975,2025-01-12 12:59:07,81,GENGIGEL MOUTH WASH 1 150 ML,2185,BIOTECH PHARMA,1,اساسى,1,اساسى,1.0,0,1,0,308.0,274.6744,308.0,350.0,2026-10-01,2304D00,60013,ثروت - الاسكندرية ,شارع عبدالحميد الديب من عبد السلام عارف عمارة الاوقاف,5.0,pharmacy,0.0,4020408,فرع لوران,2,الأسكندريه,2494,لوران,Br,2025,1
2025-01-13 10:25:47,24842257,0/1/1/71482,2025-01-12 14:09:56,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,2185,BIOTECH PHARMA,1,اساسى,1,اساسى,3.0,0,3,0,924.0,280.7112,308.0,350.0,2027-04-01,101515CB,121716,جورج قرياقص ,م4/2ش امرؤالقيس/الحىالسابع/مدينةنصر,5.0,pharmacy,0.0,4010102,فرع هليوبليس,1,القاهره,127,مدينه نصر اول,Br,2025,1
2025-01-25 13:39:18,25115813,0/1/1/2197,2025-01-23 13:48:27,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,2185,BIOTECH PHARMA,1,اساسى,1,اساسى,1.0,0,1,0,308.0,280.7112,308.0,350.0,2027-01-01,101387,25837,ابرام رينود فرحات ,14 شارع الامام محمد عبده,5.0,pharmacy,0.0,4030101,فرع الفيوم,15,الفيوم,1506,الفيوم,Br,2025,1
2025-01-30 13:34:21,25201969,0/1/1/42487,2025-01-28 11:01:29,21215,FORTIBONE 10 SACHET,2185,BIOTECH PHARMA,1,اساسى,1,اساسى,1.0,0,1,0,334.4,304.77216,334.4,380.0,2026-05-01,101292CB,16639,عدنان محمود عبد الكريم - بدون سموم,العبور الجديدة - 2600 فدان الكرامة - محل رقم 7 سنتر 5 العبور - القليوبية,5.0,pharmacy,0.0,4010107,فرع النصر,9,القليوبية,0,0,Br,2025,1
2025-01-25 14:43:34,25118781,0/1/1/1049,2025-01-23 14:53:36,9546,CH-ALPHA SACHETS POWD 10 10.4 G,2185,BIOTECH PHARMA,1,اساسى,1,اساسى,1.0,0,1,0,259.6,236.59944,259.6,295.0,2026-03-01,101341CB,59619,الشيماء,432 شارع ملك حفنى - العصافرة بحرى,5.0,pharmacy,0.0,4020407,فرع الرأس السوداء,2,الأسكندريه,0,0,Br,2025,1
2025-01-11 10:45:31,24736732,0/1/1/376,2025-01-07 14:09:45,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,2185,BIOTECH PHARMA,1,اساسى,1,اساسى,3.0,0,3,0,924.0,280.7112,308.0,350.0,2027-04-01,101515CB,59619,الشيماء,432 شارع ملك حفنى - العصافرة بحرى,5.0,pharmacy,0.0,4020407,فرع الرأس السوداء,2,الأسكندريه,0,0,Br,2025,1
2025-01-28 10:20:22,25189044,0/1/1/74134,2025-01-27 14:20:27,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,2185,BIOTECH PHARMA,1,اساسى,1,اساسى,3.0,0,3,0,924.0,280.7112,308.0,350.0,2027-04-01,101515CB,42858,الحديقة الدولية,46 شارع الخليفة الامر الحى السابع,5.0,pharmacy,0.0,4010102,فرع هليوبليس,1,القاهره,127,مدينه نصر اول,Br,2025,1
