CR_TIME,INVOICE_SER,INVOICE_NO,INVOICE_DATE,ITEM_CODE,ITEM_NAME,SUPPLIER_CODE,SUPPLIER_NAME,STATUS,STATUS_NAME,ITEM_OUT_STATUS,STATUS_DESC,QTY_INVOICE,RETURN_QTY,QTY_PACK,QTY_UNIT,TOTAL_VALUE_INVOICE,BASE_PRICE,PHARMAIST_PRICE,COMMUNITY_PRICE,EXPIRE_DATE,BATCH_NO,CUSTOMER_CODE,CUSTOMER_NAME,CUSTOMER_ADDRESS,CUSTOMER_TYPE_CODE,EGYDRUG_CUSTOMER_TYPE,CUST_FAMILY,BRANCH_CODE,BRANCH_NAME,PROVINCE_CODE,PROVINCE_NAME,MRKZ_C,MRKZ_N,sheet src,Year,Month
2025-02-09 17:25:06,25496390,0/1/1/76340,2025-02-09 13:29:14,9546,CH-ALPHA SACHETS POWD 10 10.4 G,2185,BIOTECH PHARMA,1,اساسى,1,اساسى,1.0,0,1,0,259.6,236.59944,259.6,295.0,2026-03-02,101339CB,107252,احمد النعناعى - النزهه,8ش على عبد الرازق النزهة,5.0,pharmacy,0.0,4010102,فرع هليوبليس,1,القاهره,130,النزهه,Br,2025,2
2025-02-09 17:25:06,25496390,0/1/1/76340,2025-02-09 13:29:14,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,2185,BIOTECH PHARMA,1,اساسى,1,اساسى,1.0,0,1,0,308.0,280.7112,308.0,350.0,2027-04-01,101515CB,107252,احمد النعناعى - النزهه,8ش على عبد الرازق النزهة,5.0,pharmacy,0.0,4010102,فرع هليوبليس,1,القاهره,130,النزهه,Br,2025,2
2025-02-12 10:32:33,25544117,0/1/1/4648,2025-02-11 11:12:20,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,2185,BIOTECH PHARMA,1,اساسى,1,اساسى,1.0,0,1,0,308.0,280.7112,308.0,350.0,2027-07-01,101524CB,84873,ياسر محمد - النزهة - نقدي ,30ش/د.على ابراهيم رامز -النزهة - القاهرة /نقدانقديه,5.0,pharmacy,0.0,4010103,فرع الحجاز,1,القاهره,130,النزهه,Br,2025,2
2025-02-18 13:41:16,25684134,0/1/1/5328,2025-02-17 12:11:33,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,2185,BIOTECH PHARMA,1,اساسى,1,اساسى,2.0,0,2,0,616.0,280.7112,308.0,350.0,2027-07-01,101524CB,84873,ياسر محمد - النزهة - نقدي ,30ش/د.على ابراهيم رامز -النزهة - القاهرة /نقدانقديه,5.0,pharmacy,0.0,4010103,فرع الحجاز,1,القاهره,130,النزهه,Br,2025,2
2025-02-17 10:32:47,25631440,0/1/1/5058,2025-02-15 12:13:28,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,2185,BIOTECH PHARMA,1,اساسى,1,اساسى,1.0,0,1,0,308.0,280.7112,308.0,350.0,2027-07-01,101524CB,84873,ياسر محمد - النزهة - نقدي ,30ش/د.على ابراهيم رامز -النزهة - القاهرة /نقدانقديه,5.0,pharmacy,0.0,4010103,فرع الحجاز,1,القاهره,130,النزهه,Br,2025,2
2025-02-24 09:40:08,25819104,0/1/1/2827,2025-02-23 14:32:50,21215,FORTIBONE 10 SACHET,2185,BIOTECH PHARMA,1,اساسى,1,اساسى,1.0,0,1,0,334.4,304.77216,334.4,380.0,2026-05-01,101290CB,63646,احمد عبد الحق - وادى حوف ,14 تقاطع شارع 11 مع شارع 17 وادى حوف,5.0,pharmacy,0.0,4010303,فرع حلوان,1,القاهره,2701,حلوان,Br,2025,2
2025-02-22 11:04:48,25772515,0/1/1/3197,2025-02-20 14:17:43,9546,CH-ALPHA SACHETS POWD 10 10.4 G,2185,BIOTECH PHARMA,1,اساسى,1,اساسى,5.0,0,5,0,1298.0,236.59944,259.6,295.0,2026-02-01,101325CB,16711,الشريف - الكيلو 19 / ( مطلوب اوراق تحديث  ),ك19- ط مصراسكندريةالصحراوى,5.0,pharmacy,0.0,4010404,فرع حدائق الاهرام,14,الجيزة,1414,الجيزة,Br,2025,2
2025-02-22 11:04:48,25772515,0/1/1/3197,2025-02-20 14:17:43,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,2185,BIOTECH PHARMA,1,اساسى,1,اساسى,5.0,0,5,0,1540.0,280.7112,308.0,350.0,2027-06-01,101520CB,16711,الشريف - الكيلو 19 / ( مطلوب اوراق تحديث  ),ك19- ط مصراسكندريةالصحراوى,5.0,pharmacy,0.0,4010404,فرع حدائق الاهرام,14,الجيزة,1414,الجيزة,Br,2025,2
2025-02-04 10:36:09,25302802,0/1/1/50499,2025-02-02 10:07:13,9546,CH-ALPHA SACHETS POWD 10 10.4 G,2185,BIOTECH PHARMA,1,اساسى,1,اساسى,2.0,0,2,0,519.2,236.59944,259.6,295.0,2026-07-01,101345CB,23976,ساره الربيع - المهندسين,77 شارع جامعه الدول العربيه,5.0,pharmacy,0.0,4010401,فرع المهندسين,14,الجيزة,1414,الجيزة,Br,2025,2
2025-02-04 10:36:43,25313624,0/1/1/50572,2025-02-02 12:29:13,9546,CH-ALPHA SACHETS POWD 10 10.4 G,2185,BIOTECH PHARMA,1,اساسى,1,اساسى,2.0,0,2,0,519.2,236.59944,259.6,295.0,2026-07-01,101345CB,23976,ساره الربيع - المهندسين,77 شارع جامعه الدول العربيه,5.0,pharmacy,0.0,4010401,فرع المهندسين,14,الجيزة,1414,الجيزة,Br,2025,2
